origin_tts2022,destination_tts2022,trip_count,distance_between_taz_km,vkt,distance_total,total_vkt_reduced,total_co2_reduced_daily_g,yearly_co2_reduced_g,yearly_co2_reduced_tonnes
6235,6223,141.0,2.895049718240851,408.20201027196,408.20201027196,81.640402054392,16817.92282320475,5045376.846961425,5.045376846961425
6241,6216,141.0,3.731522761757689,526.1447094078342,526.1447094078342,105.22894188156684,21677.162027602768,6503148.60828083,6.5031486082808305
6244,6174,141.0,7.335851052438805,1034.3549983938715,1034.3549983938715,206.8709996787743,42615.42593382751,12784627.780148253,12.784627780148252
6244,6215,141.0,3.436244984459521,484.5105428087924,484.5105428087924,96.9021085617585,19961.83436372225,5988550.309116675,5.9885503091166745
6177,6171,140.0,3.195958944038574,447.4342521654004,447.4342521654004,89.48685043308008,18434.291189214495,5530287.356764348,5.530287356764348
6218,6243,140.0,6.449116896267253,902.8763654774154,902.8763654774154,180.5752730954831,37198.50625766952,11159551.877300857,11.159551877300856
6223,6182,140.0,8.091110214503079,1132.755430030431,1132.755430030431,226.5510860060862,46669.52371725375,14000857.115176126,14.000857115176126
6179,6199,138.0,2.507012812735396,345.9677681574846,345.9677681574846,69.19355363149693,14253.872048088366,4276161.6144265095,4.27616161442651
6201,6231,138.0,4.645010750144809,641.0114835199836,641.0114835199836,128.20229670399672,26409.673121023327,7922901.936306998,7.922901936306999
6182,6199,137.0,3.186478067797151,436.5474952882097,436.5474952882097,87.30949905764194,17985.75680587424,5395727.041762272,5.395727041762272
6195,6173,137.0,8.139089912847487,1115.0553180601057,1115.0553180601057,223.01106361202116,45940.27910407636,13782083.731222909,13.782083731222908
